table,exact_rows
lighthouse_prism_verification_attempts,225681
luminari_corpus_atomic_record_origin_v1,168474
luminari_corpus_atomic_record_v1,147665
lighthouse_prism_verification_requests,143107
civic_genome_prism_verification_binding,143083
lighthouse_prism_verification_receipts,143076
docket_jurisdiction_activation_bill,106438
registry_entity_extraction_v4,101384
civic_genome_trait,92436
luminari_civic_object_reconciliation_v1,74250
luminari_corpus_candidate_v1,73007
signal_events,54874
family_momentum_snapshot,43015
luminari_corpus_resource_quality_v1,42884
normalized_civic_resource,41644
luminari_grant_award_revision_v1,40123
state_directory_row_classification,30250
state_enriched_directory_v3_13,30250
docket_bill_source_document_observation,28370
raw_material_archive,26015
registry_raw_archive,26015
luminari_resource_snapshot_identity_v1,26003
civic_genome_bill_version,24958
civic_genome_legislative_version_queue,24958
docket_bill_source_document,24958
raw_table_cells,21375
registry_entity_raw_parse_backfill,21151
luminari_corpus_resource_identity_v1,18172
civic_genome_prism_verification_queue,16656
luminari_corpus_identity_evidence_v1,10702
luminari_resource_contact_points,10293
civic_genome_prism_verification_run,10093
registry_programs,8694
legal_patterns,7182
civic_genome_assembly_run,7075
civic_genome_rosetta_generation_binding,7075
civic_genome_unresolved_family_candidate,7002
civic_genome_rosetta_source_binding,6951
civic_genome_event,6922
luminari_resource_entities,6890
docket_bill_processing_queue,6196
civic_genome_bill,5512
docket_bill_detail_cache,5479
civic_genome_family,5371
luminari_resource_locations,5152
luminari_corpus_identity_v1,4800
field_dictionary,4640
state_directory_logical_record,4407
luminari_reviewed_source_supplement_revision_v1,4138
coordinate_enrichment_queue_v1,3192
registry_entity_staging_programs,2667
registry_entity_staging_knowledge,2649
nonprofit_registry,2561
raw_sections,2479
knowledge_entries,2416
registry_entity_staging_contacts,2358
raw_tables_meta,2277
registry_contacts,2125
contacts,2080
registry_entity_staging_nonprofits,2062
domain_deep_dive_records_v3_13,1980
legal_statutes,1940
state_directory_resource_promotion,1851
claim_validation_rules_v2,1728
state_directory_field_resource_promotion,1713
luminari_reviewed_source_record_revision_v1,1481
luminari_situation_action_binding_revision_v1,1481
oversight_registry,1372
state_directory_oversight_promotion,1264
luminari_situation_action_revision_v1,1244
state_directory_organization_resource_promotion,1232
docket_jurisdiction_activation_run,1231
sunam_gate_log,1214
civic_genome_rosetta_generation_upgrade_queue,1206
extraction_staging,1154
substrate_candidate_disposition,1147
live_data_signals,1020
registry_programs_v3_13_stage,1002
registry_entities_nonprofits,1000
registry_entity_staging_cash_assistance,929
